ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,age_categories
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D,18-25
462643,Female,Yes,38,Yes,Engineer,1.0,Average,3.0,Cat_4,A,36-40
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B,66-70
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B,66-70
462669,Female,Yes,40,Yes,Entertainment,1.0,High,6.0,Cat_6,A,36-40
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C,56-60
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C,31-35
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,31-35
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D,61-65
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C,51-55
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A,26-30
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D,18-25
461230,Female,No,19,No,Executive,0.0,Low,3.0,Cat_3,D,18-25
459573,Male,Yes,70,No,Lawyer,1.0,Low,1.0,Cat_6,A,66-70
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B,56-60
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C,41-45
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D,31-35
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B,31-35
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B,56-60
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C,75+
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A,46-50
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D,18-25
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A,31-35
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B,36-40
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C,56-60
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A,31-35
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C,46-50
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B,31-35
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C,31-35
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C,41-45
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A,41-45
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D,18-25
467010,Male,No,26,No,Homemaker,9.0,Low,3.0,Cat_6,D,26-30
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D,75+
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D,26-30
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D,31-35
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D,26-30
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A,26-30
467442,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,C,56-60
